publisherName,publisherAddress
Penguin Random House,"1745 Broadway, New York, NY 10019"
Hachette Livre,"58 Rue Jean Bleuzen, 92170 Vanves, France"
Springer Nature,"233 Spring St, New York, NY 10013"
Scholastic,"557 Broadway, New York, NY 10012"
Wiley,"7925 Jones Branch, Tysons, VA 22102"
McGraw-Hill Education,"2 Pennsylvania Plaza, New York, NY 10121"
HarperCollins,"195 Broadway, New York, NY 10007"
Cengage,"5191 Natorp Blvd, Mason, OH 45040"
Houghton Mifflin Harcourt,"28 Claremont Ave, Thornwood, NY 10594"
Macmillan,"175 5th Ave, New York, NY 10010"
Oxford University Press,"8120 Woodmont Ave, Bethesda, MD 20814"
Pearson,"19 W 44th St #306, New York, NY 10036"
Kodansha,"451 Park Ave S 7th floor, New York, NY 10022"
Shueisha,"2510 Hitotsubashi, Tokyo 1018050, Japan"
Simon & Schuster,"100 Front St, Delran, NJ 08075"
Grupo Santillana,"Artesanos, 6 Tres Cantos, 28760 Spain"
Bonnier Books,"535 King's Rd, Chelsea Harbour, London"
Editis,"30 place d'Italie, Paris,  75013, France"
Klett,"12255 Fair Lakes Pkwy, Fairfax, VA 22033"
Egmont Books,"1 Nicholas Rd, London W11 4AN, UK"
